fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.7954732510288065,0.7669649888473704,0.09399962425231934,3,"[1, 3, 5]"
2,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.11300110816955566,3,"[1, 3, 5]"
3,0.8571428571428571,0.8333333333333334,0.8507936507936508,0.816496580927726,0.09550285339355469,3,"[1, 3, 5]"
4,0.6857142857142857,0.6759868421052632,0.680956385918539,0.666392487478979,0.11059355735778809,3,"[1, 3, 5]"
5,0.7714285714285715,0.738095238095238,0.7623188405797101,0.7190318509781667,0.10500049591064453,3,"[1, 3, 5]"
6,0.8,0.71,0.7880133185349611,0.6782329983125268,0.10700035095214844,3,"[1, 3, 5]"
7,0.8285714285714286,0.8235294117647058,0.8224489795918367,0.8043996665398437,0.0970003604888916,3,"[1, 3, 5]"
8,0.8857142857142857,0.8823529411764706,0.8838095238095238,0.8744746321952062,0.11299967765808105,3,"[1, 3, 5]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,0.10299992561340332,3,"[1, 5, 8]"
10,0.8857142857142857,0.8532608695652174,0.8829004329004329,0.8469895538599199,0.10600018501281738,3,"[1, 5, 16]"
