fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,1.0345573425292969,13,"[4, 5, 6, 7, 8, 10, 11, 18, 22, 23, 24, 29, 30]"
2,0.8245614035087719,0.8421052631578948,0.829004329004329,0.8404589169827007,0.9571709632873535,14,"[4, 6, 8, 10, 11, 18, 21, 22, 23, 24, 26, 28, 29, 30]"
3,0.8947368421052632,0.8947368421052632,0.8959459459459459,0.8947368421052632,0.956444263458252,14,"[2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30]"
4,0.7894736842105263,0.7763157894736843,0.7918918918918919,0.7753115717187492,0.9559681415557861,15,"[4, 5, 6, 7, 8, 11, 16, 18, 21, 22, 23, 26, 28, 29, 30]"
5,0.8596491228070176,0.8289473684210525,0.8575498575498576,0.8238145180262383,1.0180752277374268,15,"[2, 4, 5, 6, 7, 8, 11, 18, 21, 22, 23, 26, 28, 29, 30]"
6,0.8421052631578947,0.855263157894737,0.8457255158860137,0.8543517410919962,0.9572253227233887,15,"[2, 4, 8, 9, 10, 16, 17, 18, 21, 22, 23, 24, 26, 28, 29]"
7,0.8421052631578947,0.855263157894737,0.8457255158860137,0.8543517410919962,0.9744827747344971,15,"[2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 24, 26, 28, 29, 30]"
8,0.8421052631578947,0.8289473684210527,0.843076923076923,0.8280069853974881,1.017275094985962,14,"[2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30]"
9,0.8771929824561403,0.8947368421052629,0.8800087345780108,0.8931875130777442,0.9718356132507324,14,"[4, 5, 9, 11, 17, 18, 21, 22, 23, 24, 26, 28, 29, 30]"
10,0.8571428571428571,0.8801169590643275,0.8612244897959184,0.877762972708071,0.9562404155731201,15,"[1, 2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30]"
