fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7532467532467533,0.7865566037735849,0.7622939373335988,0.7815683313721031,0.12400364875793457,5,"[1, 2, 6, 7, 8]"
2,0.7272727272727273,0.7397959183673468,0.7323642649485346,0.7383694904132875,0.11899971961975098,6,"[1, 2, 5, 6, 7, 8]"
3,0.6753246753246753,0.6686795491143317,0.6871310507674144,0.668475806130366,0.12160515785217285,5,"[1, 2, 6, 7, 8]"
4,0.7402597402597403,0.777122641509434,0.7498224076064188,0.7709342531250699,0.12200045585632324,5,"[1, 2, 6, 7, 8]"
5,0.8181818181818182,0.831818181818182,0.8250377073906486,0.8312094145936335,0.11100077629089355,5,"[1, 2, 6, 7, 8]"
6,0.7142857142857143,0.7372448979591837,0.719562243502052,0.7324227936704636,0.16404485702514648,5,"[1, 2, 6, 7, 8]"
7,0.7142857142857143,0.7059027777777778,0.7142857142857143,0.704154339142587,0.11500072479248047,5,"[1, 2, 6, 7, 8]"
8,0.618421052631579,0.640278917145201,0.6338876826366041,0.6378799998240685,0.11399984359741211,5,"[1, 2, 6, 7, 8]"
9,0.6447368421052632,0.6557239057239057,0.6609418282548476,0.655204494255747,0.11804080009460449,5,"[1, 2, 6, 7, 8]"
10,0.75,0.7831372549019607,0.7575352238273587,0.7771239081558686,0.11400008201599121,6,"[1, 2, 5, 6, 7, 8]"
