fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7272727272727273,0.772962962962963,0.7319932739922557,0.7576767609436587,0.053819894790649414,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7272727272727273,0.7303703703703703,0.7326570837940484,0.7302967433402214,0.05382132530212402,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.7272727272727273,0.7303703703703703,0.7326570837940484,0.7302967433402214,0.0877068042755127,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.8441558441558441,0.8374074074074074,0.8453485290219985,0.8371025867483272,0.054816246032714844,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7532467532467533,0.7674074074074074,0.7586699015270445,0.7659416862050704,0.053820133209228516,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7532467532467533,0.7674074074074074,0.7586699015270445,0.7659416862050704,0.053819894790649414,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7532467532467533,0.7418518518518519,0.7559244878832507,0.7408703590297623,0.052823543548583984,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.7012987012987013,0.7103703703703702,0.7078635650064222,0.7097208632298362,0.052823543548583984,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6842105263157895,0.7415384615384617,0.6885964912280701,0.7189736274183338,0.052823543548583984,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.618421052631579,0.6269230769230769,0.6281527789511232,0.6263447072560702,0.05182671546936035,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
