fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.8221153846153846,0.8333333333333334,0.820412654142367,0.11630105972290039,1,[np.int64(9)]
2,0.5238095238095238,0.5913461538461539,0.4444444444444444,0.5188745216627708,0.15158367156982422,1,[np.int64(9)]
3,0.6666666666666666,0.7067307692307692,0.6666666666666666,0.6864064729836441,0.09374070167541504,1,[np.int64(9)]
4,0.5714285714285714,0.5863636363636364,0.4,0.4954336943068623,0.09374022483825684,1,[np.int64(9)]
5,0.5238095238095238,0.5416666666666666,0.5454545454545454,0.5270462766947299,0.10936331748962402,1,[np.int64(9)]
6,0.7142857142857143,0.7142857142857143,0.7692307692307693,0.7142857142857143,0.09373998641967773,1,[np.int64(9)]
7,0.7142857142857143,0.7181818181818183,0.7272727272727273,0.7135060680126758,0.10175251960754395,1,[np.int64(12)]
8,0.6666666666666666,0.6826923076923078,0.631578947368421,0.6793662204867574,0.10040593147277832,1,[np.int64(9)]
9,0.65,0.65,0.6666666666666666,0.648074069840786,0.09377026557922363,1,[np.int64(11)]
10,0.4,0.43956043956043955,0.4,0.4193139346887673,0.09764981269836426,1,[np.int64(9)]
