fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7916666666666667,0.804945054945055,0.7817359599705715,0.11013913154602051,14,"[2, 4, 5, 9, 12, 21, 27, 29, 30, 41, 47, 49, 56, 59]"
2,0.5714285714285714,0.5555555555555555,0.5673949579831932,0.5443310539518174,0.15520095825195312,16,"[4, 5, 9, 12, 21, 28, 29, 30, 41, 47, 49, 52, 53, 56, 58, 59]"
3,0.5714285714285714,0.5694444444444445,0.5733899967309578,0.5692750425533111,0.09794950485229492,15,"[4, 5, 9, 12, 21, 28, 29, 30, 38, 47, 49, 54, 57, 58, 59]"
4,0.6190476190476191,0.5972222222222222,0.6098901098901098,0.5773502691896257,0.09672689437866211,13,"[4, 5, 9, 12, 21, 27, 28, 30, 47, 49, 54, 58, 59]"
5,0.6190476190476191,0.6111111111111112,0.6190476190476191,0.6085806194501846,0.09637260437011719,14,"[5, 9, 12, 21, 26, 27, 28, 29, 30, 47, 49, 54, 58, 59]"
6,0.8095238095238095,0.8055555555555556,0.8095238095238095,0.8050764858994133,0.09536480903625488,14,"[1, 4, 5, 9, 11, 12, 21, 27, 29, 30, 47, 49, 58, 59]"
7,0.8571428571428571,0.875,0.8571428571428571,0.8660254037844386,0.09495234489440918,14,"[5, 9, 12, 21, 27, 29, 30, 41, 47, 49, 52, 54, 58, 59]"
8,0.6666666666666666,0.6826923076923077,0.6712433257055682,0.6793662204867574,0.09416413307189941,15,"[4, 5, 9, 12, 21, 24, 28, 29, 30, 47, 49, 54, 56, 58, 59]"
9,0.8,0.75,0.7809523809523808,0.7071067811865476,0.09471726417541504,14,"[4, 5, 9, 12, 21, 28, 29, 30, 41, 47, 49, 54, 58, 59]"
10,0.6,0.6458333333333334,0.5878787878787879,0.60380736442456,0.09537100791931152,16,"[4, 5, 9, 12, 21, 24, 26, 27, 29, 30, 41, 49, 53, 54, 58, 59]"
